,Transposable Element,TSD length
482,rover,4
483,rover,6
484,rover,6
485,rover,5
486,rover,5
487,copia,5
488,rover,5
489,rover,4
490,rover,6
491,rover,4
492,copia,5
493,rover,6
494,rover,4
495,rover,5
496,rover,4
497,rover,5
498,rover,5
499,I-element,11
500,rover,5
501,rover,4
502,copia,4
503,rover,5
504,rover,5
505,rover,7
506,rover,5
507,rover,4
508,diver,5
509,rover,5
510,rover,5
511,rover,7
512,rover,5
513,I-element,12
514,Doc,12
515,rover,4
516,rover,5
517,rover,5
518,rover,4
519,rover,5
520,rover,5
521,rover,4
522,rover,6
523,rover,4
524,copia,5
525,copia,5
526,copia,4
527,rover,5
528,copia,6
529,rover,4
530,rover,6
531,copia,4
532,copia,4
533,rover,5
534,rover,5
535,rover,5
536,rover,5
537,rover,5
538,copia,4
539,copia,4
540,I-element,12
541,rover,4
542,rover,5
543,rover,5
544,rover,4
545,G-element,12
546,rover,3
547,rover,4
548,rover,4
549,rover,5
550,rover,6
551,rover,5
552,rover,4
553,rover,4
554,rover,5
555,I-element,8
556,rover,4
557,rover,4
558,copia,5
559,rover,5
560,copia,7
561,rover,13
562,rover,5
563,rover,4
564,rover,3
565,copia,6
566,I-element,11
567,copia,6
568,rover,5
569,rover,4
570,rover,3
571,rover,3
572,rover,5
573,copia,5
574,copia,4
575,hobo,28
576,rover,5
577,rover,4
578,rover,9
579,rover,5
580,rover,4
581,rover,5
582,rover,5
583,rover,4
584,I-element,12
585,rover,5
586,rover,5
587,rover,5
588,rover,5
589,copia,5
590,rover,4
591,copia,4
592,copia,4
593,I-element,13
594,copia,5
595,I-element,13
596,rover,4
597,rover,4
598,copia,5
599,F-element,31
600,rover,4
601,1360,43
602,copia,4
603,rover,4
604,rover,5
605,copia,4
606,rover,6
607,copia,5
608,I-element,11
609,roo,28
610,copia,4
611,I-element,11
612,I-element,14
613,I-element,12
614,X-element,35
615,rover,4
616,Stalker4,32
617,rover,7
618,copia,5
619,copia,5
620,copia,4
621,rover,1
622,copia,4
623,rover,4
624,rover,4
625,rover,4
626,rover,5
627,rover,5
628,rover,5
629,rover,4
630,rover,4
631,rover,5
632,I-element,12
633,rover,6
634,rover,3
635,rover,5
636,rover,11
637,rover,5
638,copia,4
639,rover,7
640,rover,15
641,rover,4
642,rover,5
643,rover,4
644,rover,4
645,rover,5
646,rover,6
647,rover,9
648,rover,5
649,copia,4
650,rover,5
651,rover,5
652,rover,4
653,rover,6
654,rover,5
655,rover,5
656,rover,5
657,rover,5
658,rover,5
659,rover,5
660,rover,3
661,rover,6
662,rover,5
663,copia,5
664,rover,6
665,rover,4
666,rover,5
667,rover,5
668,rover,5
670,rover,5
671,rover,5
672,rover,5
673,rover,5
