chrom	source	feature	start	end	score	strand	frame	sample_id	vaf	autosome	notch_vaf	color	order
3L	findcluster	rover	1972457	1972462	5	+	.	R19	0.5994005994005994	True	0.5780076816603389	other	294
2L	findcluster	FB	1839410	1839419	14	+	.	R25	0.5944339367738449	True	0.5920546027303942	other	324
X	findcluster	rover	10899323	10899329	7	+	.	R25	0.5988023952095809	False	0.5920546027303942	other	325
2L	findcluster	rover	13515977	13515982	10	+	.	R25	0.6149116064565718	True	0.5920546027303942	other	326
2R	findcluster	blood	7099365	7099368	47	+	.	R25	0.6413884172797586	True	0.5920546027303942	other	327
3L	findcluster	rover	16922211	16922216	18	+	.	R25	0.6662965019433648	True	0.5920546027303942	other	328
X	findcluster	rover	6541902	6541906	30	+	.	R25	0.7615421227986673	False	0.5920546027303942	other	329
3R	findcluster	rover	24126868	24126873	31	+	.	R25	0.8232872684504557	True	0.5920546027303942	other	330
2R	findcluster	I-element	9868773	9868786	27	+	.	R25	0.8568980291345331	True	0.5920546027303942	other	331
2R	findcluster	I-element	13426525	13426537	75	+	.	R13	0.6717044500419815	True	0.6110257726025435	other	398
X	findcluster	rover	16724868	16724874	48	+	.	R13	0.7109531215285493	False	0.6110257726025435	other	399
X	findcluster	rover	12609761	12609766	50	+	.	R13	0.8407180186321291	False	0.6110257726025435	other	400
3R	findcluster	rover	11461827	11461833	23	+	.	R55	0.6807062327164434	True	0.6661647111485134	other	460
3R	findcluster	rover	21741066	21741070	33	+	.	R55	0.7240131011894502	True	0.6661647111485134	other	461
2L	findcluster	rover	6671081	6671084	18	+	.	R55	0.8691873098652759	True	0.6661647111485134	other	462
X	findcluster	rover	5393405	5393409	9	+	.	R55	0.9975062344139651	False	0.6661647111485134	other	463
3R	findcluster	rover	19616423	19616428	13	+	.	R55	1.0	True	0.6661647111485134	other	464
3R	findcluster	I-element	30813561	30813572	30	+	.	H1	0.7025128343690895	True	0.6998914180894148	other	501
2R	findcluster	rover	12319893	12319897	53	+	.	H1	0.7389697891762661	True	0.6998914180894148	other	502
2L	findcluster	rover	2301196	2301200	37	+	.	H1	0.7725516927970916	True	0.6998914180894148	other	503
X	findcluster	rover	17439636	17439641	15	+	.	R45	0.8559201141226819	False	0.7223174962532103	other	532
2R	findcluster	rover	10452971	10452976	9	+	.	R45	0.9983361064891847	True	0.7223174962532103	other	533
2R	findcluster	rover	12010956	12010961	28	+	.	R45	0.9997059688326964	True	0.7223174962532103	other	534
X	findcluster	rover	16614730	16614734	27	+	.	R29	0.7495315427857588	False	0.7274090283157081	other	567
3L	findcluster	copia	550173	550178	33	+	.	R29	0.8835154615205767	True	0.7274090283157081	other	568
3L	findcluster	rover	21932218	21932223	42	+	.	H7	0.7929667298741596	True	0.7464482336880232	other	654
X	findcluster	rover	13570426	13570431	52	+	.	H7	0.845828527489427	False	0.7464482336880232	other	655
3R	findcluster	rover	31125346	31125351	55	+	.	H7	0.9308739872435787	True	0.7464482336880232	other	656
3R	findcluster	rover	23909133	23909137	38	+	.	H7	0.969403211148137	True	0.7464482336880232	other	657
2R	findcluster	rover	6623344	6623349	34	+	.	R37	0.7998400319936013	True	0.7663408458474044	other	730
3R	findcluster	rover	25586783	25586788	49	+	.	R37	0.8535544445799292	True	0.7663408458474044	other	731
X	findcluster	rover	8874125	8874130	32	+	.	R37	0.8567348881485006	False	0.7663408458474044	other	732
2R	findcluster	rover	6242588	6242592	26	+	.	R37	0.969403211148137	True	0.7663408458474044	other	733
2R	findcluster	rover	22471922	22471928	18	+	.	R37	0.9995835068721366	True	0.7663408458474044	other	734
2L	findcluster	rover	19635022	19635026	17	+	.	R37	1.0	True	0.7663408458474044	other	735
2R	findcluster	rover	9202279	9202284	26	+	.	R37	1.0	True	0.7663408458474044	other	736
3R	findcluster	rover	14844456	14844462	42	+	.	R51	0.7836778813673827	True	0.7784750649456218	other	767
2L	findcluster	copia	18193081	18193086	23	+	.	R51	0.9596161535385845	True	0.7784750649456218	other	768
3L	findcluster	rover	8008898	8008903	11	+	.	R53	0.7992007992007992	True	0.7809187279146059	other	795
X	findcluster	rover	18294955	18294960	18	+	.	R53	0.9082652134423251	False	0.7809187279146059	other	796
X	findcluster	rover	1249552	1249556	9	+	.	R53	0.9975062344139651	False	0.7809187279146059	other	797
X	findcluster	rover	19249603	19249607	18	+	.	R53	0.9983361064891847	False	0.7809187279146059	other	798
X	findcluster	rover	13749896	13749901	16	+	.	R53	0.9987515605493134	False	0.7809187279146059	other	799
2R	findcluster	rover	21080718	21080723	29	+	.	R53	1.0	True	0.7809187279146059	other	800
X	findcluster	rover	22546789	22546793	75	+	.	R11	0.8356961647515295	False	0.7874015748029822	other	834
X	findcluster	rover	3275182	3275188	105	+	.	R11	0.84773394196283	False	0.7874015748029822	other	835
X	findcluster	rover	7349836	7349841	83	+	.	R11	0.8483563096500529	False	0.7874015748029822	other	836
3L	findcluster	rover	24731689	24731694	71	+	.	R11	0.8643335310566901	True	0.7874015748029822	other	837
2L	findcluster	rover	17380694	17380699	56	+	.	R11	0.8658901144211937	True	0.7874015748029822	other	838
X	findcluster	rover	16946092	16946098	81	+	.	R11	0.8984205187653963	False	0.7874015748029822	other	839
3R	findcluster	copia	23333599	23333603	41	+	.	R11	0.9472022452201369	True	0.7874015748029822	other	840
2R	findcluster	copia	13009843	13009849	81	+	.	R11	0.9634333260345961	True	0.7874015748029822	other	841
2R	findcluster	rover	6198772	6198777	63	+	.	R11	1.0	True	0.7874015748029822	other	842
2R	findcluster	rover	16695418	16695427	49	+	.	R11	1.0	True	0.7874015748029822	other	843
3L	findcluster	rover	154189	154193	117	+	.	R11	1.0	True	0.7874015748029822	other	844
3R	findcluster	diver	23331358	23331363	53	+	.	R11	1.0	True	0.7874015748029822	other	845
3L	findcluster	rover	2252756	2252759	12	+	.	R39	0.8744534665833853	True	0.8020961775582707	other	883
3R	findcluster	rover	13824075	13824079	26	+	.	R59	0.866377874041986	True	0.8542342510097852	other	916
2L	findcluster	copia	12455401	12455405	15	+	.	R59	0.9327115256495669	True	0.8542342510097852	other	917
3L	findcluster	rover	12217847	12217851	20	+	.	R59	1.0	True	0.8542342510097852	other	918
X	findcluster	rover	11514798	11514803	30	+	.	H4	0.9126466753585397	False	0.9071837503603518	other	984
X	findcluster	rover	14204906	14204910	44	+	.	H4	0.9126466753585397	False	0.9071837503603518	other	985
X	findcluster	rover	16832282	16832287	44	+	.	H4	0.9126466753585397	False	0.9071837503603518	other	986
2R	findcluster	rover	17906532	17906537	52	+	.	H4	0.9150991357397051	True	0.9071837503603518	other	987
3L	findcluster	rover	19940077	19940081	43	+	.	H4	0.9164757342220371	True	0.9071837503603518	other	988
3R	findcluster	rover	15560889	15560895	35	+	.	H4	0.9198160367926415	True	0.9071837503603518	other	989
2R	findcluster	rover	6868184	6868189	57	+	.	H4	0.9204888112997938	True	0.9071837503603518	other	990
2R	findcluster	rover	22078822	22078828	37	+	.	H4	0.9266032674957327	True	0.9071837503603518	other	991
2L	findcluster	rover	22209308	22209312	43	+	.	H4	0.9300162752848176	True	0.9071837503603518	other	992
3L	findcluster	rover	632482	632486	51	+	.	H4	0.9300162752848176	True	0.9071837503603518	other	993
X	findcluster	rover	4912183	4912187	44	+	.	H4	0.9330223258913695	False	0.9071837503603518	other	994
3R	findcluster	rover	19100742	19100746	50	+	.	H4	0.9432182607055273	True	0.9071837503603518	other	995
X	findcluster	rover	10882188	10882192	43	+	.	H4	0.9994121105232215	False	0.9071837503603518	other	996
2L	findcluster	rover	482108	482112	38	+	.	H4	1.0	True	0.9071837503603518	other	997
2L	findcluster	rover	7904466	7904473	45	+	.	H4	1.0	True	0.9071837503603518	other	998
2L	findcluster	rover	12505313	12505318	48	+	.	H4	1.0	True	0.9071837503603518	other	999
2R	findcluster	rover	23978912	23978916	47	+	.	H4	1.0	True	0.9071837503603518	other	1000
3L	findcluster	rover	3127449	3127454	55	+	.	H4	1.0	True	0.9071837503603518	other	1001
3L	findcluster	rover	9383239	9383242	50	+	.	H4	1.0	True	0.9071837503603518	other	1002
3L	findcluster	rover	11345489	11345494	53	+	.	H4	1.0	True	0.9071837503603518	other	1003
3L	findcluster	rover	17590410	17590414	44	+	.	H4	1.0	True	0.9071837503603518	other	1004
3R	findcluster	rover	13764385	13764390	46	+	.	H4	1.0	True	0.9071837503603518	other	1005
3R	findcluster	rover	19072947	19072952	47	+	.	H4	1.0	True	0.9071837503603518	other	1006
3R	findcluster	rover	24621925	24621931	67	+	.	H4	1.0	True	0.9071837503603518	other	1007
3R	findcluster	rover	26566219	26566223	39	+	.	H4	1.0	True	0.9071837503603518	other	1008
3L	findcluster	copia	14783738	14783742	98	+	.	R1	0.9999122883957547	True	0.9145046029475379	other	1044
3L	findcluster	rover	17058890	17058897	9	+	.	R61	1.0	True	0.9523727492694445	other	1083
