	ID	original_filename	Dataset	Organism	Technique	Target Element	Assay Factor	Conditions	PI	Tissue	region_type	basename	genotype	replicate	new_filename
10	611	611_MAT_end300_E7-24h.bed_dcc.gff.gz	ENGRAILED;Embryos 7-24 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	ENGRAILED	Embryos 7-24 hr	White, K.	Embryo	enriched	611_MAT_end300_E7-24h.bed_dcc.gff.gz	wt	0	ENGRAILED_wt_Embryo_Transcriptional-Factor_0_enriched_611
11	5603	5603_repset.15664084.smoothedM.clusters.gff3.depleted.gff.gz	Pc;HP1b mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Pc	Larvae 3rd instar	Karpen, G.	Larvae	depleted	5603_repset.15664084.smoothedM.clusters.gff3	HP1b mutant	0	Pc_HP1b-mutant_Larvae_Non-TF-Chromatin-binding-factor_0_depleted_5603
12	5603	5603_repset.15664084.smoothedM.clusters.gff3.enriched.gff.gz	Pc;HP1b mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Pc	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5603_repset.15664084.smoothedM.clusters.gff3	HP1b mutant	0	Pc_HP1b-mutant_Larvae_Non-TF-Chromatin-binding-factor_0_enriched_5603
13	957	957_repset.5013687.smoothedM.clusters.gff3.depleted.gff.gz	HP1a;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Mixed Adult	Karpen, G.	Adult	depleted	957_repset.5013687.smoothedM.clusters.gff3	wt	0	HP1a_wt_Adult_Non-TF-Chromatin-binding-factor_0_depleted_957
14	957	957_repset.5013687.smoothedM.clusters.gff3.enriched.gff.gz	HP1a;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Mixed Adult	Karpen, G.	Adult	enriched	957_repset.5013687.smoothedM.clusters.gff3	wt	0	HP1a_wt_Adult_Non-TF-Chromatin-binding-factor_0_enriched_957
15	5099	5099_2347.enrichment.clusters.gff3.enriched.gff.gz	H3K79me1;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K79me1	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5099_2347.enrichment.clusters.gff3	wt	0	H3K79me1_wt_Larvae_Histone-Modification_0_enriched_5099
18	5099	5099_2347.enrichment.clusters.gff3.depleted.gff.gz	H3K79me1;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K79me1	Larvae 3rd instar	Karpen, G.	Larvae	depleted	5099_2347.enrichment.clusters.gff3	wt	0	H3K79me1_wt_Larvae_Histone-Modification_0_depleted_5099
16	5099	5099_repset.18481746.enrichment.clusters.gff3.depleted.gff.gz	H3K79me1;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K79me1	Larvae 3rd instar	Karpen, G.	Larvae	depleted	5099_repset.18481746.enrichment.clusters.gff3	wt	1	H3K79me1_wt_Larvae_Histone-Modification_1_depleted_5099
19	5099	5099_repset.18481746.enrichment.clusters.gff3.enriched.gff.gz	H3K79me1;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K79me1	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5099_repset.18481746.enrichment.clusters.gff3	wt	1	H3K79me1_wt_Larvae_Histone-Modification_1_enriched_5099
17	5099	5099_2346.enrichment.clusters.gff3.enriched.gff.gz	H3K79me1;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K79me1	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5099_2346.enrichment.clusters.gff3	wt	2	H3K79me1_wt_Larvae_Histone-Modification_2_enriched_5099
20	3664	3664_repset.9702638.smoothedM.clusters.gff3.depleted.gff.gz	BEAF-32;CG6384-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	BEAF-32	Larvae 3rd instar	Karpen, G.	ML-DmBG3	depleted	3664_repset.9702638.smoothedM.clusters.gff3	wt	0	BEAF-32_wt_ML-DmBG3_Non-TF-Chromatin-binding-factor_0_depleted_3664
21	3664	3664_repset.9702638.smoothedM.clusters.gff3.enriched.gff.gz	BEAF-32;CG6384-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	BEAF-32	Larvae 3rd instar	Karpen, G.	ML-DmBG3	enriched	3664_repset.9702638.smoothedM.clusters.gff3	wt	0	BEAF-32_wt_ML-DmBG3_Non-TF-Chromatin-binding-factor_0_enriched_3664
22	3951	3951_repset.16024307.smoothedM.clusters.gff3.depleted.gff.gz	PIWI;PIWI2 mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	PIWI	Larvae 3rd instar	Karpen, G.	Larvae	depleted	3951_repset.16024307.smoothedM.clusters.gff3	PIWI2 mutant	0	PIWI_PIWI2-mutant_Larvae_Non-TF-Chromatin-binding-factor_0_depleted_3951
23	3951	3951_repset.16024307.smoothedM.clusters.gff3.enriched.gff.gz	PIWI;PIWI2 mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	PIWI	Larvae 3rd instar	Karpen, G.	Larvae	enriched	3951_repset.16024307.smoothedM.clusters.gff3	PIWI2 mutant	0	PIWI_PIWI2-mutant_Larvae_Non-TF-Chromatin-binding-factor_0_enriched_3951
24	3031	3031_repset.9700951.smoothedM.clusters.gff3.enriched.gff.gz	ISWI;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	ISWI	Late Embryonic stage	Karpen, G.	Kc	enriched	3031_repset.9700951.smoothedM.clusters.gff3	wt	0	ISWI_wt_Kc_Non-TF-Chromatin-binding-factor_0_enriched_3031
25	3031	3031_repset.9700951.smoothedM.clusters.gff3.depleted.gff.gz	ISWI;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	ISWI	Late Embryonic stage	Karpen, G.	Kc	depleted	3031_repset.9700951.smoothedM.clusters.gff3	wt	0	ISWI_wt_Kc_Non-TF-Chromatin-binding-factor_0_depleted_3031
26	795	795_L1_H3K4Me3_Input_tag36_mfold4_250_peaks_1fdr_filtered.bed.gff3.gz	H3K4me3;Y cn bw sp;Larvae L1 stage;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K4me3	Larvae L1 stage	White, K.	Larvae	enriched	795_L1_H3K4Me3_Input_tag36_mfold4_250_peaks_1fdr_filtered.bed.gff3.gz	wt	0	H3K4me3_wt_Larvae_Histone-Modification_0_enriched_795
27	5063	5063_repset.16023710.smoothedM.clusters.gff3.enriched.gff.gz	NURF301;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	NURF301	Larvae 3rd instar	Karpen, G.	ML-DmBG3	enriched	5063_repset.16023710.smoothedM.clusters.gff3	wt	0	NURF301_wt_ML-DmBG3_Non-TF-Chromatin-binding-factor_0_enriched_5063
28	5063	5063_repset.16023710.smoothedM.clusters.gff3.depleted.gff.gz	NURF301;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	NURF301	Larvae 3rd instar	Karpen, G.	ML-DmBG3	depleted	5063_repset.16023710.smoothedM.clusters.gff3	wt	0	NURF301_wt_ML-DmBG3_Non-TF-Chromatin-binding-factor_0_depleted_5063
29	5623	5623_repset.17399955.smoothedM.clusters.gff3.enriched.gff.gz	H3K9me3;Sexed male Jil mutant;Larvae 3rd instar Sexed Male;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Larvae 3rd instar Sexed Male	Karpen, G.	Larvae	enriched	5623_repset.17399955.smoothedM.clusters.gff3	Sexed male Jil mutant	0	H3K9me3_Sexed-male-Jil-mutant_Larvae_Histone-Modification_0_enriched_5623
30	5623	5623_repset.17399955.smoothedM.clusters.gff3.depleted.gff.gz	H3K9me3;Sexed male Jil mutant;Larvae 3rd instar Sexed Male;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9me3	Larvae 3rd instar Sexed Male	Karpen, G.	Larvae	depleted	5623_repset.17399955.smoothedM.clusters.gff3	Sexed male Jil mutant	0	H3K9me3_Sexed-male-Jil-mutant_Larvae_Histone-Modification_0_depleted_5623
31	6073	6073_repset.9701250.smoothedM.clusters.gff3.depleted.gff.gz	H2Av;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2Av	Larvae 3rd instar	Karpen, G.	ML-DmBG3	depleted	6073_repset.9701250.smoothedM.clusters.gff3	wt	0	H2Av_wt_ML-DmBG3_Histone-Modification_0_depleted_6073
32	6073	6073_repset.9701250.smoothedM.clusters.gff3.enriched.gff.gz	H2Av;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2Av	Larvae 3rd instar	Karpen, G.	ML-DmBG3	enriched	6073_repset.9701250.smoothedM.clusters.gff3	wt	0	H2Av_wt_ML-DmBG3_Histone-Modification_0_enriched_6073
33	5068	5068_1721.enrichment.clusters.gff3.enriched.gff.gz	Chriz;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	Chriz	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	5068_1721.enrichment.clusters.gff3	wt	0	Chriz_wt_Embryo_Non-TF-Chromatin-binding-factor_0_enriched_5068
34	5068	5068_repset.17401438.enrichment.clusters.gff3.enriched.gff.gz	Chriz;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	Chriz	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	5068_repset.17401438.enrichment.clusters.gff3	wt	1	Chriz_wt_Embryo_Non-TF-Chromatin-binding-factor_1_enriched_5068
35	5068	5068_1711.enrichment.clusters.gff3.enriched.gff.gz	Chriz;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	Chriz	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	5068_1711.enrichment.clusters.gff3	wt	2	Chriz_wt_Embryo_Non-TF-Chromatin-binding-factor_2_enriched_5068
36	309	309_repset.3506200.smoothedM.clusters.gff3.depleted.gff.gz	H3K9ac;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Late Embryonic stage	Karpen, G.	S2	depleted	309_repset.3506200.smoothedM.clusters.gff3	wt	0	H3K9ac_wt_S2_Histone-Modification_0_depleted_309
37	309	309_repset.3506200.smoothedM.clusters.gff3.enriched.gff.gz	H3K9ac;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K9ac	Late Embryonic stage	Karpen, G.	S2	enriched	309_repset.3506200.smoothedM.clusters.gff3	wt	0	H3K9ac_wt_S2_Histone-Modification_0_enriched_309
38	302	302_repset.4621046.smoothedM.clusters.gff3.enriched.gff.gz	H3K36me3;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me3	Late Embryonic stage	Karpen, G.	Kc	enriched	302_repset.4621046.smoothedM.clusters.gff3	wt	0	H3K36me3_wt_Kc_Histone-Modification_0_enriched_302
39	302	302_repset.4621046.smoothedM.clusters.gff3.depleted.gff.gz	H3K36me3;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me3	Late Embryonic stage	Karpen, G.	Kc	depleted	302_repset.4621046.smoothedM.clusters.gff3	wt	0	H3K36me3_wt_Kc_Histone-Modification_0_depleted_302
40	5598	5598_2203.enrichment.clusters.gff3.depleted.gff.gz	POF;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	POF	Mixed Adult	Karpen, G.	Adult	depleted	5598_2203.enrichment.clusters.gff3	wt	0	POF_wt_Adult_Non-TF-Chromatin-binding-factor_0_depleted_5598
44	5598	5598_2203.enrichment.clusters.gff3.enriched.gff.gz	POF;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	POF	Mixed Adult	Karpen, G.	Adult	enriched	5598_2203.enrichment.clusters.gff3	wt	0	POF_wt_Adult_Non-TF-Chromatin-binding-factor_0_enriched_5598
41	5598	5598_repset.18972704.enrichment.clusters.gff3.depleted.gff.gz	POF;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	POF	Mixed Adult	Karpen, G.	Adult	depleted	5598_repset.18972704.enrichment.clusters.gff3	wt	1	POF_wt_Adult_Non-TF-Chromatin-binding-factor_1_depleted_5598
43	5598	5598_repset.18972704.enrichment.clusters.gff3.enriched.gff.gz	POF;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	POF	Mixed Adult	Karpen, G.	Adult	enriched	5598_repset.18972704.enrichment.clusters.gff3	wt	1	POF_wt_Adult_Non-TF-Chromatin-binding-factor_1_enriched_5598
42	5598	5598_2204.enrichment.clusters.gff3.enriched.gff.gz	POF;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	POF	Mixed Adult	Karpen, G.	Adult	enriched	5598_2204.enrichment.clusters.gff3	wt	2	POF_wt_Adult_Non-TF-Chromatin-binding-factor_2_enriched_5598
45	3054	3054_repset.9699866.smoothedM.clusters.gff3.enriched.gff.gz	PR-Set7;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	PR-Set7	Late Embryonic stage	Karpen, G.	S2	enriched	3054_repset.9699866.smoothedM.clusters.gff3	wt	0	PR-Set7_wt_S2_Non-TF-Chromatin-binding-factor_0_enriched_3054
46	3054	3054_repset.9699866.smoothedM.clusters.gff3.depleted.gff.gz	PR-Set7;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	PR-Set7	Late Embryonic stage	Karpen, G.	S2	depleted	3054_repset.9699866.smoothedM.clusters.gff3	wt	0	PR-Set7_wt_S2_Non-TF-Chromatin-binding-factor_0_depleted_3054
47	2632	2632_E0-12_HDAC-497_peaks.bed.gff3.gz	HDAC6;Y cn bw sp;Embryos 0-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HDAC6	Embryos 0-12 hr	White, K.	Embryo	enriched	2632_E0-12_HDAC-497_peaks.bed.gff3.gz	wt	0	HDAC6_wt_Embryo_Non-TF-Chromatin-binding-factor_0_enriched_2632
48	5115	5115_2385.enrichment.clusters.gff3.enriched.gff.gz	JMJD2A/KDM4A;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	JMJD2A/KDM4A	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5115_2385.enrichment.clusters.gff3	wt	0	JMJD2A_KDM4A_wt_Larvae_Non-TF-Chromatin-binding-factor_0_enriched_5115
49	5115	5115_repset.18482422.enrichment.clusters.gff3.enriched.gff.gz	JMJD2A/KDM4A;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	JMJD2A/KDM4A	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5115_repset.18482422.enrichment.clusters.gff3	wt	1	JMJD2A_KDM4A_wt_Larvae_Non-TF-Chromatin-binding-factor_1_enriched_5115
51	5115	5115_repset.18482422.enrichment.clusters.gff3.depleted.gff.gz	JMJD2A/KDM4A;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	JMJD2A/KDM4A	Larvae 3rd instar	Karpen, G.	Larvae	depleted	5115_repset.18482422.enrichment.clusters.gff3	wt	1	JMJD2A_KDM4A_wt_Larvae_Non-TF-Chromatin-binding-factor_1_depleted_5115
50	5115	5115_2384.enrichment.clusters.gff3.enriched.gff.gz	JMJD2A/KDM4A;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	JMJD2A/KDM4A	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5115_2384.enrichment.clusters.gff3	wt	2	JMJD2A_KDM4A_wt_Larvae_Non-TF-Chromatin-binding-factor_2_enriched_5115
52	5082	5082_2490.enrichment.clusters.gff3.enriched.gff.gz	H3K18ac;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K18ac	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	5082_2490.enrichment.clusters.gff3	wt	0	H3K18ac_wt_Embryo_Histone-Modification_0_enriched_5082
53	5082	5082_2489.enrichment.clusters.gff3.enriched.gff.gz	H3K18ac;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K18ac	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	5082_2489.enrichment.clusters.gff3	wt	1	H3K18ac_wt_Embryo_Histone-Modification_1_enriched_5082
54	5082	5082_repset.18482480.enrichment.clusters.gff3.enriched.gff.gz	H3K18ac;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K18ac	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	5082_repset.18482480.enrichment.clusters.gff3	wt	2	H3K18ac_wt_Embryo_Histone-Modification_2_enriched_5082
55	3059	3059_repset.9700019.smoothedM.clusters.gff3.depleted.gff.gz	Su(var)3-7;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	Su(var)3-7	Larvae 3rd instar	Karpen, G.	Larvae	depleted	3059_repset.9700019.smoothedM.clusters.gff3	wt	0	Su(var)3-7_wt_Larvae_Histone-Modification_0_depleted_3059
56	3059	3059_repset.9700019.smoothedM.clusters.gff3.enriched.gff.gz	Su(var)3-7;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	Su(var)3-7	Larvae 3rd instar	Karpen, G.	Larvae	enriched	3059_repset.9700019.smoothedM.clusters.gff3	wt	0	Su(var)3-7_wt_Larvae_Histone-Modification_0_enriched_3059
57	4958	4958_repset.18481342.enrichment.clusters.gff3.enriched.gff.gz	H3K9me2;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	Larvae	enriched	4958_repset.18481342.enrichment.clusters.gff3	wt	0	H3K9me2_wt_Larvae_Histone-Modification_0_enriched_4958
61	4958	4958_repset.18481342.enrichment.clusters.gff3.depleted.gff.gz	H3K9me2;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	Larvae	depleted	4958_repset.18481342.enrichment.clusters.gff3	wt	0	H3K9me2_wt_Larvae_Histone-Modification_0_depleted_4958
58	4958	4958_2267.enrichment.clusters.gff3.enriched.gff.gz	H3K9me2;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	Larvae	enriched	4958_2267.enrichment.clusters.gff3	wt	1	H3K9me2_wt_Larvae_Histone-Modification_1_enriched_4958
59	4958	4958_2268.enrichment.clusters.gff3.enriched.gff.gz	H3K9me2;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	Larvae	enriched	4958_2268.enrichment.clusters.gff3	wt	2	H3K9me2_wt_Larvae_Histone-Modification_2_enriched_4958
60	4958	4958_2268.enrichment.clusters.gff3.depleted.gff.gz	H3K9me2;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me2	Larvae 3rd instar	Karpen, G.	Larvae	depleted	4958_2268.enrichment.clusters.gff3	wt	2	H3K9me2_wt_Larvae_Histone-Modification_2_depleted_4958
62	5111	5111_2031.enrichment.clusters.gff3.enriched.gff.gz	HP1b;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HP1b	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	5111_2031.enrichment.clusters.gff3	wt	0	HP1b_wt_Embryo_Non-TF-Chromatin-binding-factor_0_enriched_5111
63	5111	5111_2030.enrichment.clusters.gff3.enriched.gff.gz	HP1b;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HP1b	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	5111_2030.enrichment.clusters.gff3	wt	1	HP1b_wt_Embryo_Non-TF-Chromatin-binding-factor_1_enriched_5111
64	5111	5111_repset.18153514.enrichment.clusters.gff3.enriched.gff.gz	HP1b;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	HP1b	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	5111_repset.18153514.enrichment.clusters.gff3	wt	2	HP1b_wt_Embryo_Non-TF-Chromatin-binding-factor_2_enriched_5111
65	3703	3703_repset.14909548.smoothedM.clusters.gff3.depleted.gff.gz	HP1a;mt2 mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	Larvae	depleted	3703_repset.14909548.smoothedM.clusters.gff3	mt2 mutant	0	HP1a_mt2-mutant_Larvae_Non-TF-Chromatin-binding-factor_0_depleted_3703
66	3703	3703_repset.14909548.smoothedM.clusters.gff3.enriched.gff.gz	HP1a;mt2 mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	Larvae	enriched	3703_repset.14909548.smoothedM.clusters.gff3	mt2 mutant	0	HP1a_mt2-mutant_Larvae_Non-TF-Chromatin-binding-factor_0_enriched_3703
