Dataset	Organism	Technique	Target Element	Assay Factor	Conditions	PI	ID
CG10630;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CG10630	Late Embryonic stage	Karpen, G.	4176
CG16778;Embryos 0-8 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	CG16778	Embryos 0-8 hr	White, K.	4078
CG8478;Embryos 8-16 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	CG8478	Embryos 8-16 hr	White, K.	3240
CG8478;White prepupae (WPP);ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	CG8478	White prepupae (WPP)	White, K.	4080
chinmo;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	chinmo	Embryos 0-12 hr	White, K.	608
Chriz;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Chriz	Larvae 3rd instar	Karpen, G.	276
Chriz;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Chriz	Late Embryonic stage	Karpen, G.	277
Chriz;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Chriz	Larvae 3rd instar	Karpen, G.	275
Chriz;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Chriz	Embryos 14-16 hr OR	Karpen, G.	2648
Chriz;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Chriz	Embryos 14-16 hr OR	Karpen, G.	3746
Chriz;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	Chriz	Embryos 14-16 hr OR	Karpen, G.	5068
Chriz;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Chriz	Late Embryonic stage	Karpen, G.	278
Chriz;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Chriz	Late Embryonic stage	Karpen, G.	279
cnc;Adult Female;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	cnc	Adult Female	White, K.	4082
cnc;Embryos 0-12 hr;Embryo;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	cnc	Embryos 0-12 hr	White, K.	627
cnc;Embryos 16-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	cnc	Embryos 16-24 hr	White, K.	4081
CP190;CG10159-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CP190	Larvae 3rd instar	Karpen, G.	3666
CP190;CG32491-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CP190	Larvae 3rd instar	Karpen, G.	3669
CP190;CG6384-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CP190	Larvae 3rd instar	Karpen, G.	3747
CP190;CG8573-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CP190	Larvae 3rd instar	Karpen, G.	3670
CP190;CG8591-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CP190	Larvae 3rd instar	Karpen, G.	3667
CP190;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CP190	Embryos 0-12 hr	White, K.	22
CP190;Fly-LacZ-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CP190	Larvae 3rd instar	Karpen, G.	3668
CP190;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CP190	Larvae 3rd instar	Karpen, G.	924
CP190;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	CP190	Embryos 14-16 hr OR	Karpen, G.	3959
CP190;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CP190	Embryos 2-4 hr OR	Karpen, G.	5131
CP190;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CP190	Late Embryonic stage	Karpen, G.	280
CP190;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CP190	Late Embryonic stage	Karpen, G.	925
CP190;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CP190	Late Embryonic stage	Karpen, G.	3748
CtBP;Embryos 0-12 hr;Embryo;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	CtBP	Embryos 0-12 hr	White, K.	607
CTCF;CG6384-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CTCF	Larvae 3rd instar	Karpen, G.	3671
CTCF;CG8573-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CTCF	Larvae 3rd instar	Karpen, G.	3674
CTCF;CG8591-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CTCF	Larvae 3rd instar	Karpen, G.	3672
CTCF;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CTCF	Embryos 0-12 hr	White, K.	769
CTCF;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CTCF	Embryos 0-12 hr	White, K.	770
CTCF;Fly-LacZ-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CTCF	Larvae 3rd instar	Karpen, G.	3673
CTCF;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CTCF	Late Embryonic stage	White, K.	908
CTCF;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CTCF	Larvae 3rd instar	Karpen, G.	282
CTCF;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CTCF	Larvae 3rd instar	Karpen, G.	3280
CTCF;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	CTCF	Embryos 14-16 hr OR	Karpen, G.	5069
CTCF;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CTCF	Embryos 2-4 hr OR	Karpen, G.	5057
CTCF;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CTCF	Late Embryonic stage	Karpen, G.andWhite, K.	283
CTCF;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CTCF	Late Embryonic stage	Karpen, G.andWhite, K.	913
CTCF;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CTCF	Late Embryonic stage	Karpen, G.andWhite, K.	3281
CTCF;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	CTCF	Late Embryonic stage	Karpen, G.andWhite, K.	3749
CTCF;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	CTCF	Late Embryonic stage	White, K.	2638
CTCF;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	CTCF	Late Embryonic stage	White, K.	2639
Dichaete;Embryos 0-12 hr;Embryo;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	Dichaete	Embryos 0-12 hr	White, K.	626
Dichaete;Embryos 0-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	Dichaete	Embryos 0-8 hr	White, K.	2571
Dichaete;Embryos 0-8 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	Dichaete	Embryos 0-8 hr	White, K.	3395
Disco;Embryos 0-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	Disco	Embryos 0-8 hr	White, K.	2572
Disco;Embryos 0-8 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	Disco	Embryos 0-8 hr	White, K.	3235
DLL;Embryos 0-12 hr;Embryo;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	DLL	Embryos 0-12 hr	White, K.	606
DLL;White prepupae (WPP);ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	DLL	White prepupae (WPP)	White, K.	4974
dm;Larvae L3 stage;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	dm	Larvae L3 stage	White, K.	5008
dMi-2;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	dMi-2	Embryos 14-16 hr OR	Karpen, G.	5070
dMi-2;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	dMi-2	Late Embryonic stage	Karpen, G.	926
dMi-2;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	dMi-2	Late Embryonic stage	Karpen, G.	3675
dMi-2;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	dMi-2	Late Embryonic stage	Karpen, G.	3676
dmTopo II;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	dmTopo II	Larvae 3rd instar	Karpen, G.	5058
dmTopo II;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	dmTopo II	Late Embryonic stage	Karpen, G.	3945
dRING;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	dRING	Larvae 3rd instar	Karpen, G.	927
dRING;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	dRING	Embryos 14-16 hr OR	Karpen, G.	5071
dRING;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	dRING	Embryos 2-4 hr OR	Karpen, G.	5255
dRING;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	dRING	Late Embryonic stage	Karpen, G.	928
dRING;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	dRING	Late Embryonic stage	Karpen, G.	3750
dSFMBT;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	dSFMBT	Late Embryonic stage	Karpen, G.	5132
dSFMBT;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	dSFMBT	Larvae 3rd instar	Karpen, G.	2986
dSFMBT;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	dSFMBT	Embryos 2-4 hr OR	Karpen, G.	5256
dSFMBT;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	dSFMBT	Larvae 3rd instar	Karpen, G.	5072
dSFMBT;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	dSFMBT	Mixed Adult	Karpen, G.	5577
dSFMBT;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	dSFMBT	Late Embryonic stage	Karpen, G.	3751
eGFP;10T-DFD-GFP;Embryos 16-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	eGFP	Embryos 16-24 hr	White, K.	3229
eGFP;10T-DFD-GFP;Larvae L3 stage;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	eGFP	Larvae L3 stage	White, K.	3230
eGFP;13T exd-GFP;Embryos 0-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	eGFP	Embryos 0-8 hr	White, K.	3183
eGFP;15T-hairy-GFP;Embryos 8-16 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	eGFP	Embryos 8-16 hr	White, K.	3402
eGFP;3T EN-GFP;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	eGFP	Embryos 0-12 hr	White, K.	3184
eGFP;3T EN-GFP;Embryos 12-24 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	eGFP	Embryos 12-24 hr	White, K.	3185
eGFP;5T-eve-GFP;Embryos 8-16 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	eGFP	Embryos 8-16 hr	White, K.	3401
eGFP;8T tll-GFP;Embryos 0-4 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	eGFP	Embryos 0-4 hr	White, K.	3186
eGFP;EcR-GFP;Larvae L3 stage;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	eGFP	Larvae L3 stage	White, K.	2640
eGFP;EcR-GFP;White prepupae (WPP) 10-11 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	eGFP	White prepupae (WPP) 10-11 hr	White, K.	2641
eGFP;EcR-GFP;White prepupae (WPP) 30-33 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	eGFP	White prepupae (WPP) 30-33 hr	White, K.	2642
eGFP;Embryos 0-4 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	eGFP	Embryos 0-4 hr	White, K.	3234
eGFP;Embryos 0-8 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	eGFP	Embryos 0-8 hr	White, K.	3236
eGFP;Embryos 1-6 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	eGFP	Embryos 1-6 hr	White, K.	3239
eGFP;Embryos 8-16 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	eGFP	Embryos 8-16 hr	White, K.	3241
eGFP;R13-YFP;Embryos 1-6 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	eGFP	Embryos 1-6 hr	White, K.	2603
eGFP;R13-YFP;Embryos 1-6 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	eGFP	Embryos 1-6 hr	White, K.	3400
eGFP;White prepupae (WPP) + 4-5 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	eGFP	White prepupae (WPP) + 4-5 hr	White, K.	3398
Eip74EF;Eip74EF-GFP;Embryos 8-16 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	Eip74EF	Embryos 8-16 hr	White, K.	4976
ENGRAILED;Embryos 0-12 hr;Embryo;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	ENGRAILED	Embryos 0-12 hr	White, K.	625
ENGRAILED;Embryos 7-24 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	ENGRAILED	Embryos 7-24 hr	White, K.	611
Enhancer-of-zeste;Embryos 8-16 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Enhancer-of-zeste	Embryos 8-16 hr	White, K.	2585
Enhancer-of-zeste;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Enhancer-of-zeste	Larvae 3rd instar	Karpen, G.	2650
Enhancer-of-zeste;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Enhancer-of-zeste	Larvae 3rd instar	Karpen, G.	2987
Enhancer-of-zeste;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Enhancer-of-zeste	Late Embryonic stage	Karpen, G.	284
Enhancer-of-zeste;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Enhancer-of-zeste	Late Embryonic stage	Karpen, G.	2988
Enhancer-of-zeste;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Enhancer-of-zeste	Late Embryonic stage	Karpen, G.	3752
exd;13T exd-GFP;Embryos 16-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	exd	Embryos 16-24 hr	White, K.	3824
Fer3;Embryos 16-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	Fer3	Embryos 16-24 hr	White, K.	3826
fru;Embryos 0-8 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	fru	Embryos 0-8 hr	White, K.	4089
FTZ-F1;Embryos 0-12 hr;Embryo;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	FTZ-F1	Embryos 0-12 hr	White, K.	624
GAF;D.pseudoobscura wild-type;Embryos 0-4 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	GAF	Embryos 0-4 hr	White, K.	3809
GAF;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	GAF	Embryos 0-12 hr	White, K.	23
GAF;Embryos 16-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	GAF	Embryos 16-24 hr	White, K.	3238
GAF;Embryos 8-16 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional FactorandNon TF Chromatin binding factor	GAF	Embryos 8-16 hr	White, K.	3397
GAF;Embryos 8-16 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional FactorandNon TF Chromatin binding factor	GAF	Embryos 8-16 hr	White, K.	5028
GAF;FlyStrain;Embryos 0-4 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	GAF	Embryos 0-4 hr	White, K.	3814
GAF;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	GAF	Late Embryonic stage	White, K.	2568
GAF;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	GAF	Late Embryonic stage	White, K.	3245
GAF;Larvae L3 stage;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	GAF	Larvae L3 stage	White, K.	3830
GAF;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	GAF	Larvae 3rd instar	Karpen, G.	2651
GAF;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	GAF	Embryos 14-16 hr OR	Karpen, G.	4119
GAF;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	GAF	Embryos 2-4 hr OR	Karpen, G.	6387
GAF;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	GAF	Late Embryonic stage	Karpen, G.	285
GAF;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	GAF	Late Embryonic stage	Karpen, G.	3753
GATAe;Embryos 0-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	GATAe	Embryos 0-8 hr	White, K.	2573
GROUCHO;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	GROUCHO	Embryos 0-12 hr	White, K.	597
GROUCHO;Embryos 0-12 hr;Embryo;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	GROUCHO	Embryos 0-12 hr	White, K.	623
GROUCHO;White prepupae (WPP);ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	GROUCHO	White prepupae (WPP)	White, K.	4981
GSBN;Embryos 7-24 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	GSBN	Embryos 7-24 hr	White, K.	610
H1;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H1	Larvae 3rd instar	Karpen, G.	5133
